filename,width,height,n_frames,fps
v_SalsaSpin_g21_c03.avi,320,240,200,25.0
v_SalsaSpin_g16_c05.avi,320,240,333,25.0
v_SalsaSpin_g12_c05.avi,320,240,200,25.0
v_SalsaSpin_g25_c03.avi,320,240,333,25.0
v_SalsaSpin_g12_c02.avi,320,240,200,25.0
v_SalsaSpin_g25_c04.avi,320,240,268,25.0
v_SalsaSpin_g21_c04.avi,320,240,200,25.0
v_SalsaSpin_g16_c02.avi,320,240,333,25.0
v_SalsaSpin_g06_c03.avi,320,240,167,25.0
v_SalsaSpin_g02_c03.avi,320,240,333,25.0
v_SalsaSpin_g02_c04.avi,320,240,333,25.0
v_SalsaSpin_g06_c04.avi,320,240,167,25.0
v_SalsaSpin_g22_c01.avi,320,240,333,25.0
v_SalsaSpin_g01_c06.avi,320,240,167,25.0
v_SalsaSpin_g09_c01.avi,320,240,167,25.0
v_SalsaSpin_g05_c06.avi,320,240,200,25.0
v_SalsaSpin_g05_c01.avi,320,240,200,25.0
v_SalsaSpin_g01_c01.avi,320,240,167,25.0
v_SalsaSpin_g09_c06.avi,320,240,167,25.0
v_SalsaSpin_g10_c01.avi,320,240,168,25.0
v_SalsaSpin_g14_c01.avi,320,240,333,25.0
v_SalsaSpin_g14_c06.avi,320,240,333,25.0
v_SalsaSpin_g18_c01.avi,320,240,168,25.0
v_SalsaSpin_g10_c06.avi,320,240,168,25.0
v_SalsaSpin_g07_c02.avi,320,240,167,25.0
v_SalsaSpin_g03_c02.avi,320,240,168,25.0
v_SalsaSpin_g03_c05.avi,320,240,168,25.0
v_SalsaSpin_g07_c05.avi,320,240,167,25.0
v_SalsaSpin_g20_c02.avi,320,240,167,25.0
v_SalsaSpin_g17_c04.avi,320,240,168,25.0
v_SalsaSpin_g13_c04.avi,320,240,187,25.0
v_SalsaSpin_g24_c02.avi,320,240,168,25.0
v_SalsaSpin_g13_c03.avi,320,240,200,25.0
v_SalsaSpin_g24_c05.avi,320,240,153,25.0
v_SalsaSpin_g20_c05.avi,320,240,167,25.0
v_SalsaSpin_g17_c03.avi,320,240,168,25.0
v_SalsaSpin_g01_c07.avi,320,240,167,25.0
v_SalsaSpin_g15_c06.avi,320,240,167,25.0
v_SalsaSpin_g19_c01.avi,320,240,333,25.0
v_SalsaSpin_g11_c06.avi,320,240,167,25.0
v_SalsaSpin_g11_c01.avi,320,240,167,25.0
v_SalsaSpin_g15_c01.avi,320,240,167,25.0
v_SalsaSpin_g02_c05.avi,320,240,333,25.0
v_SalsaSpin_g06_c05.avi,320,240,167,25.0
v_SalsaSpin_g06_c02.avi,320,240,167,25.0
v_SalsaSpin_g02_c02.avi,320,240,333,25.0
v_SalsaSpin_g12_c03.avi,320,240,200,25.0
v_SalsaSpin_g21_c05.avi,320,240,200,25.0
v_SalsaSpin_g16_c03.avi,320,240,333,25.0
v_SalsaSpin_g21_c02.avi,320,240,200,25.0
v_SalsaSpin_g16_c04.avi,320,240,333,25.0
v_SalsaSpin_g12_c04.avi,320,240,200,25.0
v_SalsaSpin_g25_c02.avi,320,240,333,25.0
v_SalsaSpin_g13_c02.avi,320,240,200,25.0
v_SalsaSpin_g24_c04.avi,320,240,168,25.0
v_SalsaSpin_g20_c04.avi,320,240,167,25.0
v_SalsaSpin_g17_c02.avi,320,240,168,25.0
v_SalsaSpin_g20_c03.avi,320,240,167,25.0
v_SalsaSpin_g24_c03.avi,320,240,168,25.0
